Employee ID,Age,Age Group,Attrition,Business Travel,Daily Rate,Department,Distance From Home,Education,Job Involvement,Job Level,Education Field,Employee Count,Employee Number,Environment Satisfaction,Gender,Hourly Rate,Job Role,Job Satisfaction,Marital Status,Monthly Income,Salary Slab,Monthly Rate,Num Companies Worked,Over 18,Over Time,Percent Salary Hike,Performance Rating,Performance Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Training Time Last Year,Work Life Balance,Years at Company,Years in Current Role
EM001,55,20-30,No,Frequently,233,HR,12,1,3,3,Other,1,2591,4,Female,73,Technician,3,Divorced,5012,<5k,19437,5,Yes,No,13,3,2,40,2,0,7,1,22,9
EM002,47,51+,Yes,None,477,HR,28,2,4,3,Life Sciences,1,1228,3,Male,76,Manager,2,Married,6606,15k+,5952,0,Yes,Yes,19,1,3,40,0,38,14,2,3,1
EM003,25,51+,Yes,Frequently,1249,Sales,10,3,2,2,Medical,1,3105,4,Female,67,Manager,2,Single,19632,<5k,19769,2,Yes,Yes,17,2,3,40,1,21,4,3,8,13
EM004,46,31-40,No,Rarely,875,R&D,12,2,3,1,Other,1,4714,2,Female,98,Research Scientist,1,Married,6195,5-10k,18056,9,Yes,Yes,24,1,2,40,1,11,0,1,6,10
EM005,57,31-40,Yes,Frequently,959,HR,5,4,2,1,Marketing,1,4701,3,Female,47,HR,3,Married,8145,10-15k,20992,7,Yes,No,11,4,3,40,1,30,8,2,16,1
EM006,26,41-50,No,None,1361,Sales,48,1,1,5,Medical,1,2915,3,Male,88,Manager,3,Divorced,17359,10-15k,11835,4,Yes,No,12,3,2,40,1,10,14,4,19,5
EM007,40,31-40,No,None,342,HR,2,1,1,5,Life Sciences,1,1560,2,Male,90,Research Scientist,3,Divorced,4262,10-15k,18887,0,Yes,No,19,4,3,40,0,13,19,2,11,3
EM008,22,31-40,No,None,743,R&D,35,4,3,4,Life Sciences,1,3097,3,Male,52,Sales Executive,2,Single,12170,<5k,18835,5,Yes,No,12,4,2,40,3,32,19,1,18,9
EM009,51,41-50,No,Rarely,410,Sales,24,1,4,4,Medical,1,1760,4,Male,92,Sales Executive,3,Divorced,10229,15k+,23491,9,Yes,No,18,1,2,40,2,5,14,1,16,5
EM010,44,31-40,No,Rarely,524,Sales,6,2,2,4,Life Sciences,1,2954,4,Male,73,Research Scientist,1,Married,13682,<5k,14201,5,Yes,No,23,4,1,40,1,11,8,3,2,3
EM011,31,20-30,No,None,1427,HR,5,4,1,5,Technical Degree,1,3694,2,Male,82,Technician,4,Divorced,12972,10-15k,12258,9,Yes,Yes,20,4,4,40,2,21,7,4,0,12
EM012,50,51+,No,Rarely,540,HR,21,3,1,1,Technical Degree,1,1516,3,Male,59,Manager,4,Single,16216,<5k,14153,4,Yes,No,23,3,4,40,2,16,12,4,3,7
EM013,41,41-50,No,Frequently,594,HR,2,4,1,3,Life Sciences,1,3188,1,Male,90,Manager,4,Single,11859,10-15k,7622,2,Yes,No,14,2,4,40,1,18,18,1,8,19
EM014,36,31-40,Yes,Rarely,682,Sales,25,2,2,3,Life Sciences,1,1394,3,Male,58,HR,3,Married,12026,15k+,22130,4,Yes,Yes,16,3,4,40,1,19,15,2,15,15
EM015,47,41-50,No,None,735,HR,26,2,1,2,Technical Degree,1,1995,1,Female,55,HR,3,Divorced,10625,5-10k,18866,9,Yes,No,23,1,2,40,1,28,8,4,2,17
EM016,45,41-50,No,None,939,Sales,18,1,1,5,Technical Degree,1,3654,3,Female,53,Technician,4,Single,2550,10-15k,19757,9,Yes,Yes,17,2,3,40,3,36,8,1,9,2
EM017,35,51+,No,None,1030,Sales,28,2,2,2,Technical Degree,1,1846,2,Female,98,Sales Executive,1,Married,17862,<5k,19067,0,Yes,Yes,17,2,4,40,1,26,10,3,28,0
EM018,28,51+,No,None,429,Sales,8,1,1,1,Technical Degree,1,4408,3,Female,91,Sales Executive,3,Divorced,2689,10-15k,21403,6,Yes,Yes,14,4,2,40,0,2,19,4,22,19
EM019,48,20-30,No,Frequently,1413,HR,33,3,4,2,Medical,1,4468,3,Male,63,HR,2,Married,9489,15k+,5704,5,Yes,No,20,2,3,40,2,24,0,4,10,5
EM020,50,20-30,No,Rarely,1001,R&D,38,4,4,1,Medical,1,3931,1,Female,57,Research Scientist,3,Single,15501,5-10k,22181,5,Yes,No,16,1,4,40,0,7,11,1,24,2
EM021,54,20-30,No,Rarely,1436,HR,18,1,3,1,Life Sciences,1,3339,1,Female,95,Technician,1,Married,13070,5-10k,23140,5,Yes,Yes,18,3,1,40,3,17,19,1,0,7
EM022,46,41-50,Yes,None,1087,R&D,13,4,3,5,Technical Degree,1,2240,3,Female,80,Technician,1,Married,10902,10-15k,4387,2,Yes,No,24,1,2,40,3,21,6,3,15,8
EM023,30,41-50,No,Frequently,529,Sales,28,1,4,2,Medical,1,1750,3,Male,47,Technician,1,Single,4618,5-10k,9650,4,Yes,Yes,24,3,1,40,0,1,13,4,27,10
